EXP_GROUP,ID,MAIN_DRIVER_ID
A,30537871,783132
A,22262583,602146
B,12738842,134357
B,31490611,805892
B,31300039,799442
B,14318782,176522
A,19226467,498364
B,14237674,170243
B,23572475,365361
A,31298055,799188
B,18847327,485036
A,31465307,803507
B,30672135,785424
B,31352547,801269
A,14521930,190717
B,31370259,802008
B,20831399,553441
A,25515271,343547
A,17797959,413530
A,16835939,347401
B,14146482,163607
A,14272102,172926
A,31093039,794555
A,29837259,412641
A,31389599,799337
B,23160215,641547
A,22951687,631873
B,25248995,706515
A,31357631,801516
A,31913975,818164
B,15913615,476405
B,17050691,335597
B,16936843,651284
A,22811915,622835
A,31934999,819213
B,24564967,689540
A,20165135,270383
A,25075591,703469
B,17364995,387916
B,19204131,496679
A,31025543,444067
A,17392623,389552
A,31144963,795780
B,21370887,569543
A,14797306,340917
A,15500175,255389
B,30401411,384357
B,30572031,783897
A,30928167,789541
A,15260106,242635
B,14278338,173495
B,31934975,437806
A,22597503,612911
B,27661623,733262
B,30124543,754184
A,22758199,619688
B,14536778,191826
A,31706975,573280
A,14146670,644658
A,30096959,629309
B,23533207,162475
B,25618483,718349
A,30211719,171620
B,14729230,203919
A,29844187,759861
B,23139187,168502
B,31725835,810688
B,15040290,226166
A,29953415,407942
B,22822111,545409
A,24803243,186990
B,31557139,798078
B,14269858,172721
A,31697475,809160
A,31969427,821226
A,15605491,260127
B,31524851,537046
B,17012439,218228
A,15038954,226053
A,15153982,513404
B,25659755,593377
A,27087807,726815
A,18760679,352492
B,31982031,489987
B,32060627,827264
B,23270003,648377
A,21974871,586044
B,22267931,602670
A,18041607,434455
B,29571491,756017
A,15093574,229148
A,31863655,814905
A,27802759,713863
B,31704671,507541
A,23829819,507053
B,31811895,813408
B,31762751,811895
B,31546091,805472
B,29633391,756860
A,14127166,325286
A,19126899,323752
A,19386495,506431
A,24376531,682009
A,23106095,363403
A,24131707,730900
A,14029418,253670
B,14150790,163899
A,24495871,686182
A,22694583,169577
A,21738151,210028
A,32115679,830120
A,26886427,416726
A,25408219,678284
A,32142163,800793
B,31294123,515039
B,30488567,435644
A,18541827,464352
A,31767515,813221
B,31576083,806197
A,23117175,638442
A,14456446,186405
B,18002551,432749
B,14923814,218318
A,15229498,253755
A,22580251,612050
A,31619231,785222
