ID,MAIN_DRIVER_ID
14151438,163946
14748734,428302
14846858,386668
14896858,216548
14972618,605320
25649571,712599
16683331,277925
18601407,467668
20909275,554573
25439599,709198
23120147,413756
21427795,572343
14439414,185186
27250275,729205
29612775,401697
28477827,741684
14160666,164246
22015139,594563
26738903,404873
31292287,798976
19478627,509316
31186643,796690
31292979,798136
13971458,546599
14214222,168175
30406691,780528
14527854,191206
24547375,201861
30440291,781991
30570087,783816
30681959,785719
30990907,792058
31431607,803097
31785843,812517
14036838,321307
31898867,816958
24453795,684649
15398287,249931
30610827,784447
31883215,392620
31898623,816934
18031259,433556
30980259,791497
17859627,419818
29134787,749925
24332667,679769
31144323,795807
14209270,167865
30428735,780216
24202683,675704
31137047,795547
15119962,230949
31258823,797947
28247319,739431
31916575,219412
16586383,644611
31221179,797179
19551663,623266
24306723,539564
27166519,215465
31198339,796916
14880862,215429
19742771,519897
19888779,526988
31813559,813483
23471927,657257
14036298,321271
14041118,321584
20519435,250978
18280103,451031
14738114,204565
14730066,203987
31363659,377626
20955795,825511
13983090,463870
22843411,626341
31311787,799524
32074303,828794
17903203,813771
14151626,163955
24818735,489608
28140899,738314
15041766,226265
31873343,815067
14312214,175953
17394023,390873
25678251,276978
21382583,570022
29954223,765707
17409755,390768
29221323,322435
14078674,323718
30571399,784041
30257823,764934
30263919,672793
29885203,762284
30412151,779640
30530979,780216
14090394,324262
14184102,165814
14057674,322493
14062090,322786
15200242,237610
15476531,254368
19646491,451242
18004403,175862
30167563,515000
19182439,424446
19949799,464391
21338635,500
21572039,450527
23331591,529794
17267035,380756
23307403,650765
29696607,399547
24612751,386668
30233611,772791
18674039,473644
29200619,590849
29854227,565196
30520703,235196
30558287,182580
24155951,398999
30240835,39474
30215931,271542
18708251,169797
18183903,428246
19606663,514944
32058435,827147
28658455,744310
22535827,369914
30560459,783873
27899203,735975
30240591,769018
24532523,688055
31672715,22031
31984659,822475
19116819,386344
30709111,785944
30410411,511356
27917371,399568
14038098,321384
14080902,323863
17585703,401441
25143635,704721
18719387,479271
19292447,502678
20000283,532487
21646999,581369
